idx,sample_type,conversation_id,mentee,mentor,question,reply,reply_words,h_Q0,h_Q1,h_Q2,h_Q3,h_Q4,h_Q5,h_R0,h_R1,h_R2,h_R3,h_R5,Q0,Q1,Q2,Q3,Q4,Q5,R0,R1,R2,R3,R5,notes
11,random,2958,Getdincts,Alaexis,"How to reliably edit a Wikipedia page (in the future when my obscure kana collection will have many kana) so my edits won't be dismissed as ""Lies""?","Hi @, which edits?",4,1,无,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,
12,random,5653,Fadluforum,Jeffrey R. Clark,I need help,@ What do you need help with?,7,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
13,random,19844,Mariya-Unframe,TheTechie,"How do I create a page about Unframe Inc? I have all the text and sources ready, but do not see a way to create a page about a company. Thanks in advance for your help.","Hi @, see [POLICY]. Let me know if you need any help! [POLICY]",13,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
14,random,16174,Gerald Walmsley,Kinvidia,"Hello, I’ve discovered that the second pilot has been wrongly identified. It should be Flight Lieutenant Roy Bernard Wharmby.","Hi @, do you have any evidence to ascertain this fact?",11,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
15,random,13388,Zhanna90,FULBERT,"Hello. I would like to edit the article about the Holmenkollen ski jump, because a user has put the old record and not the new one, because according to that user the record is only valid for ski jumping and that according to him the record made in Nordic combined is not valid. Can I edit the article or are there some steps I should take?","@ Be Bold per [POLICY] and do it! However, all edits should fulfill the Wikipedia policy of using reliable, third-party [POLICY] published sources with a reputation for fact-checking and accuracy [POLICY]. Always use a reliable source, such as an academic journal article or another high-quality reference. Avoid blogs, corporate websites, reviews, press releases, sources where we cannot determine author expertise or bias, and opinion pieces, as they generally do not count as reliable sources. Additional guidance related to frequently discussed sources [POLICY] may be useful.",85,1,无,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,
16,enriched,25344,Joga hanzra,Perfect4th,Hlo,"Hlo Hello,, and welcome! Do you have a specific question about editing Wikipedia?",13,0,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
17,enriched,12434,Roger Pilon,LEvalyn,"Hello, I'd like to make corrections and add substantially to this bio of me,, but I don't know how to begin. I've had decades of editing experience, but the instructions here are so voluminous that I'm overwhelmed. Do I, for example just click on the page and write and remove, as when editing a Word MS? That hasn't worked so far. Please advise. RP","Welcome to Wikipedia,! There can be a lot to learn to get going, but we always appreciate people willing to improve the accuracy of our articles. You should probably read [POLICY] and [POLICY] first -- wikipedia gets a lot of self-promotion and bad-faith editing, so our policies place restrictions on people with a ""connection"" to an article topic. Most of what you're allowed to do is delete rather than add, e.g., removing obvious vandalism (like slurs), unambiguous errors of basic fact (like where you were born), or information that doesn't cite a source. There's also some more [POLICY]. Since you say you want to propose substantial edits, it might actually be smoothest if you wrote the version you prefer in a ""draft"" first, and then [POLICY] linking that draft for an uninvolved editor to review and incorporate into the main article. If you click on this red link:, that will open up the interface to create a new article as a ""user space draft"". [HELP_PAGE] have more information on how to navigate the editing interface. (We actually have two interfaces; most people prefer to use the ""Visual Editor"", which lets you write a lot like MS Word.) You can start by copy-pasting the existing [WIKILINK] in your draft to modify it; if the copy-paste doesn't transfer the way you want, let me know and I can help. Any time you want to save your work, click ""publish"" and write an ""edit summary"" of what you've done so far. The most important (and likely most difficult) thing is to make sure every sentence only contains information that is cited to a published source. Since information on Wikipedia must be [POLICY], we can't include things based on just your personal knowledge -- it has to be written somewhere. If you have questions as you work, feel free to ask me or visit [POLICY]. Happy editing!",313,1,负面,1,0,0,0,1,1,1,1,0,,,,,,,,,,,,
18,enriched,10273,Abhishek singh Abhi ( Gonda),PerfectSoundWhatever,How are you sir?,Abhishek singh Abhi I'm good! Did you have any questions about editing Wikipedia? — (; ),16,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
19,enriched,22366,SassyMay,Sungodtemple,"Hi Mentor. Thanks for being here. Curious, back in January I suggested some information for the ""Andrew Tate"" page under the arrest/investigation section and also the header section but I see they were not incorporated. But when I go to the TALK page, it seems very short and I can't tell what feedback there might have been on my suggestions. Hoping to find out for both curiousity and also learning. How do I find my comments. (example added information about ""Tate's Angels"" and the names of the women he was arrested with and their association to Tate -- along with sources of course.) Thanks for your assistance.","I can't find any edits to [WIKILINK] on your. Can you link to the edits? Go to your edit in the page history of Andrew Tate, press 'diff', and copy paste the URL. Andrew Tate is a [POLICY] and I would avoid editing it, since your edits, especially if they do not conform with Wikipedia's insane number of policies and guidelines, may spark huge [POLICY]. I would recommend starting with a non-contentious topic.",73,1,无,0,1,0,0,1,1,1,0,0,,,,,,,,,,,,
20,random,3745,Rogerphilipps68,Rosiestep,Is there an area or a kind of forum for knowledgeable 'opinions' in Wikipedia?,"Hi and welcome to Wikipedia. There are multiple off-wiki areas that serve as a [QUOTE] forum for knowledgeable 'opinions' in Wikipedia [/QUOTE], e.g., [WIKILINK]. There are also a plethora of Telegram groups, the most general of these being [LINK]. In the meantime, I left a [[ with some helpful links for new editors.",53,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
21,enriched,12704,MAUNG NAY PHYO,JJPMaster,Help me,"@: Hi, and welcome to Wikipedia! It looks like you are trying to report a false positive with the edit filter, however it doesn’t look like you’ve tripped any filters lately. Could you please elaborate? ([WIKILINK]/[WIKILINK])",36,1,无,0,0,0,0,1,1,0,1,0,,,,,,,,,,,,
22,random,28994,Morrisonent,Seawolf35,"Hello, New here on Wikipedia. I think Johnny Whitaker should be recognized for his role in Gunsmoke. Not sure how to proceed",@ His role in Gunsmoke is mentioned on his article.,10,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
23,enriched,25738,Ddesignsideas,Asilvering,I have added the additional information as previously mentioned. How do I resubmit it (Tempt Destiny Experiment)?,"@, I've moved it to draftspace for you and added the submission template. Just press the blue button to add it to the queue.",24,1,无,0,0,0,0,1,0,1,0,1,,,,,,,,,,,,
24,random_replacement,12902,Shazzam61,Eddie891,Hi Eddy I was wanting to know how ‘big things’ get added to the Big Things Australia’ page. I started a talk but now I cannot find that talk. Apologies for being quite ignorant in this area. I’m not particular techno savvy. Anyhow I did add some links for big things but didn’t know the process. If you could advise what is required hopefully I can locate this page again and add whatever is needed unless the links are still in the talk I initiated. The Big Things were: Big Teapot - [LINK] Big Lotus Flower - Bendigo [LINK] Big Emus - [LINK] Big Kingfisher [LINK] Big Murray cod [LINK] Thankyou in advance,"Hi @, that's a great question! It looks to me like you can just go ahead and add the items yourself as long as you have a source with them. Do you need help figuring out how to format the additions? The message you sent to a talk page was [WIKILINK]. Do let me know if you have any other questions.",61,,,,,,,,,,,,,,,,,,,,,,,
25,random,24500,Innosgram,1AmNobody24,I want to create a page for service agency,"Hi, take a look at [HELP_PAGE].",6,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
26,enriched,19215,Healthcare dot goof,Sohom Datta,"Hi Sohom! I've enjoyed completing the tasks suggested to me and, occasionally, researching and writing more thorough sections to those articles. When and how should I decide whether to remove the issues tags on those pages? See for example Alan Bircher: [LINK] — I added more thorough documentation of his awards, updated his current employment status, and added a more thorough section about his firing from a prestigious swim team.","@ Your contributions look great, I've gone ahead and removed the tags (you could have done them as well when you think the problem has been adequately addressed). Two points of feedback, make sure to add links to terms that a person might not be familiar with and keep [POLICY] in mind when editing anything controversial (unless proven, always mention that the action was alleged etc).",66,1,正面,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,
27,random,199,Berentis.Wayfarer,UtherSRG,Hi and thanks for being a mentor. I am also a software engineer. Just a quick question. I was reading an article and had to at least comment on it. At what point is it ok to make edits vice commenting? Does anyone review comments? BTW Uther Locksley sounds like an SCA name. Is that true?,"In reverse: Uther Rhys Locksley was indeed my SCA name back in the 90s.:) There are no dedicated comment reviewers, but anyone who has the article on their watchlist will see that a comment has been made. Looking at your contributions, I don't see any comments you've made. Did you do so before creating your account?",56,1,无,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,
28,random,1211,Horzvadokesh,Ritchie333,How do i create my biography here on Wikipedia,"[POLICY]. It will cause more trouble than it's worth, for the same reason I strongly advise friends' children not to put any information about them on social media.",28,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
29,random,30898,Robert Land Academy Survivor,GoldRomean,"Hello, I was wondering about citing articles I've found on newspapers.com that are old. Am I able to cite the URL if I post the article on an image hosting site? I'm new to this and very confused. I was a student at Robert Land Military Academy. Robert Land Academy is currently being sued by over 70 former students for physical and sexual abuse. Most of the information on Wikipedia was posted by the school and is very inaccurate. I have articles to prove this. What do I do?","Hi, and welcome to Wikipedia! It would be helpful for you to provide the original newspaper in question, although [POLICY] may answer some of your questions. Additionally, I would like to remind you to keep in mind Wikipedia's [POLICY] policy, which I strongly reccomend you disclose (although your username does obviously do that). Cheers!",54,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
30,random,9606,Tanmay bro,Elli,Hello! How are you? I'm from India and you?,thanks for your message! I'm from the United States. Is there anything you'd like help with around here?,18,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
31,enriched,39700,Warren Brewster,Oshwah,"Hello, I am new to Wikipedia and posted my first page on Sunday, September 21. I would really like to see it posted on Wikipedia as soon as possible. Can you please review the posting and kindly let me know what needs to be done to have it accepted? Thanks in advance, Warren","Hello,, it's CiaPan here. Please see our [HELP_PAGE] page -- it presents multiple requirements for a Wikipedia article. Meeting all of them is a really hard task, especially if it is your first attempt in editing Wikipedia. The page even clearly states So, please read it carefully and check all the policies and guidelines linked there (most important, IMHO, [POLICY], [POLICY], [POLICY] and [POLICY]) to make sure your article is acceptable. When this is done, follow to publishing your draft, which is also described at [POLICY]. Good luck, and happy editing!",91,1,无,1,1,0,0,1,1,0,1,0,,,,,,,,,,,,
32,random,25650,Rajatdixit12,Asilvering,Hello. How do i find a citation source?,"Hi @, I'm not sure what you're asking, since it looks like you've already successfully found and added sources to several articles. Can you be more specific?",27,1,无,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,
33,random,20024,Monicaswolf,Panini!,"Nice to meet you Panini. I found an article in the German Wikipedia on Hugo Wolf but I don't know German. I need to read it in English. The reason is Hugo Wolf was my great-uncle and there is some information that is missing that I can add. Also, I would like to know who wrote it to contact them.",Hello @! From a quick look through there's seems to be multiple articles with the name Hugo Wolf and/or are similar to the name. Can you share with me the URL so I can be certain which one you are referring to?,42,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
34,random,15104,Lisakhanya majola,Em-mustapha,Hello,"Hi, how can help you?",5,0,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
35,random,9197,LIONCUBSIMBA,CaptainEek,Hello do i make money off editing on wikipedia?,"@ you don't. Editors, like myself, at every level, are unpaid volunteers. We edit because we love what we do, and care about sharing knowledge.",25,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
36,random,19793,DAmik001,TheTechie,How do comment on AfDs? Do i have to be an extended comfirmed user?,"Hello @, [QUOTE] Do i have to be an extended comfirmed user? [/QUOTE] No, you do not. [QUOTE] How do comment on AfDs? [/QUOTE] Good question. There are two ways to do this: # Right next to the reason why they nominated the article, click the [QUOTE] [reply] [/QUOTE] button. A box will pop up and you can cast your vote with its rationale in a message. # (Slightly harder)Next to the name of the article which has been nominated, click [QUOTE] [edit source] [/QUOTE]. Go to the bottom of the text, go to a blank line, enter a [QUOTE] * [/QUOTE], a space, your vote and rationale followed by another space, then [QUOTE] ~~~~ [/QUOTE], then publish the changes. Please remember to bold your vote so others can distinguish your vote and rationale. Hope this helps, [POLICY]",138,1,无,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,
37,enriched,27382,Grahamokay,Matrix,"Hi, I just did my first edit about a subject I'm passionate about, if you have time could you have a look and let me know if the changes were fairly made? Thanks!","I'm not an expert on the topic, but from a first glace, everything looks well-sourced and you've explained your edit in the edit summary, so that's good. If you want a more thorough analysis, in about 12-24 hours editors should make comments on the talk page. If this doesn't happen, you could notify a relevant [POLICY] for review (you can ask for help with this). Cheers, —' ( - )",70,1,正面,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,
38,random_replacement,27547,UltraEp06,ARandomName123,how do i reference sources for an article and how much references do i need,"@: Hi, one reference should be enough for most cases. If you are using the [POLICY], please click [HELP_PAGE] for instructions. If you are using the source editor, please click [POLICY]. Thanks, Ping me!",34,,,,,,,,,,,,,,,,,,,,,,,
39,random,2154,Wright-onCarl,Mujinga,"Hello, Happy Father's Day - in America, notwithstanding the all the world's fathers. I had made an addition to my hometown's list of notable people years ago, and I was hoping to do the same for an another noteable person from my hometown.",Hi @ on wikpedia we tend to only add people to lists if they already have their own wikipedia article,20,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
40,random,33575,Woodpigeon Gaming,Rambley,"I do apologise that this may be specific to UK law but I have a feeling that the company in question is no longer active - Companies House records show that the main entity has been struck off on multiple occasions since 2020, their only employee seems to be the current director and and that related entities bearing the Red Kite name have been dissolved. Would I be able to change the article to reflect this suspicion or would I need to obtain absolute proof that this is the case?","If a reliable, published source covers this information you are welcome to add it. Although, from the sounds of it (if I'm reading this correctly) this leans into [POLICY] a bit.",31,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
41,enriched,27072,Notyourlackey,Maliner,"Hello, Is there a specific sentence format preferred for editing articles for Wikipedia? I am afraid my standard structure could come across too informal. Thank you","@ Your sentence should be grammatically correct in English. You can decide to use [WIKILINK], [WIKILINK], [WIKILINK] English. Your spellings should be correct, basically, that's it.",26,1,负面,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
42,enriched,9747,Eric Preneur (Ep),Liance,Can you help me edit my wiki page to a professional one?,EP's attempts at autobiography have been reverted (converting an existing article into an article about him) and Speedy deleted (his User page). ==DYK for Npm left-pad incident== [BOT_NOTICE] (he/[WIKILINK]),29,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
43,enriched,36922,Yama bep,Clovermoss,"Hello, I was reading about Brown v. Board of Education and decided to add a piece of information I thought was interesting and maybe important from the book. You can see it on my edit history (I think). Can you review my work to see if I did anything wrong? I hope to be a good wikipedia editor because I enjoy adding knowledge to the world. Thanks!","Hi and welcome to Wikipedia. You can see a list of all your contributions [LINK]. They look like good edits to me. I might change the wording slightly (remove the ""many"" before observers) but that's somewhat of a nitpick on my part. I'll leave some helpful links on your talk page to help give you a sense of direction. I am also always here if you ever need have further questions. Happy editing!",73,1,正面,0,1,0,1,1,1,0,1,0,,,,,,,,,,,,
44,random_replacement,7183,Vmk3991,Sdkb,"Hi, I have published a page and its not visible in the search. Can you help?","Hi @. From your username, you appear to be writing about yourself, so see [POLICY]. You haven't published your sandbox draft; see [HELP_PAGE]. New pages don't appear in search results until they're reviewed; see [POLICY]. {u }",37,,,,,,,,,,,,,,,,,,,,,,,
45,random,3859,Liran.shlush,Rosiestep,Hi did I added the reference correctly?,"Hi and welcome to Wikipedia. Unfortunately, no. Instead, use this template [TEMPLATE_REF] in that space, filling in as many of the parameters as the reference provides. By the way, I left a welcome message on with some additional helpful links for newcomers.",42,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
46,random,4717,Thechosenwriter23401,Alyo,I have been doing a few edits; I would love to get your feedback.,"Hi @, welcome to Wikipedia! [WIKILINK] was a significant improvement. Note that someone [LINK] that you removed, and I also [LINK] so that the timeline made sense. [WIKILINK] was also good work. Honestly, the only thing I would say is that unless your edit is likely to be controversial (which Habul almost certainly was not), you don't need to explain all of your editing, as you did at [WIKILINK]. To be clear, it's very helpful and you're welcome to keep doing it, but that's a lot of extra work you're creating for yourself (especially on talk pages like Habul that don't get much action). So far my only comment is to keep it up! Do you have any specific question or concern you'd like to get feedback on?",128,1,正面,0,1,0,0,1,1,0,1,0,,,,,,,,,,,,
47,random,38732,Medulba,Lfstevens,"I just made my first suggested edit. However, in entering text for a description or explanation of my suggestion, I accidentally hit the Enter key and my text was truncated. I wanted to explain that the Town of ""Barton"" NY could not have been ""named after"" a woman who was born Belva Ann Bennett, married a man named McNall, and later married a man named Lockwood. The town's own webpage has a much better explanation for the history of the town's name. Thanks. No Reply needed, unless you feel one must be made.",Thanks for contributing to Wikipedia! Don't fret about the incomplete edit summary. Keep up the good work.,17,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
48,random,14420,Raviguptaindia,Jenhawk777,hi I am Ravi from India Ask regarding to create user page on Wikipedia 1. what type of information share on user page 2. which type of links(publish books or website) add on user page,"Take a look at other people's user pages - like mine - for ideas of what you might like to include on yours. Some have photos, some have essays, everyone is different. I suggest you di simeting that reflects who you are and why you are on Wikipedia. Post anything, and it will no longer be red. As for your talk page, I will go and post something and it will automatically take your talk page out of the red.",80,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
49,random,28403,Mibsjaks,Three Sixty,Hello this is Mibs can you p[lease help me how can i add any information to wikipedia,"Hi! Thank you for your efforts to improve Wikipedia. To get some basic info on contributing, see [HELP_PAGE]. Also, please note that [POLICY] for advertising or promotion, and content you add must be supported by citations to [POLICY]. Thanks!! (, )",41,,,,,,,,,,,,,,,,,,,,,,,
50,enriched,6572,KerryREPORTERSanders,GoingBatty,"I'm a longtime NBC News correspondent (and there is a page about me). One of my longtime colleagues who was NOT on camera, but is a cameraman/producer, who has been a part of not only significant news coverage, but helped developed what's now more commonly known as ""backpack journalism"" deserves a notation. He's won important journalism awards, and like so many (but not me) has written (years ago) a light hearted book about his experiences. Would he deserve a page/is he notable? He certainly is to me and his work now with National Geographic etc would seem worthy. Thanks for your advice/guidance. Cheers","@: Hi there! Wikipedia's definition of notable people as those who ""have received significant coverage in multiple published secondary sources that are reliable, intellectually independent of each other, and independent of the subject."" For more details, please see [POLICY]. The article about you could use some additional secondary sources. If you are aware of any that can be used, feel free to suggest them at [WIKILINK]. Hope this helps!",69,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
51,random,18026,ATrHamilton,Ferien,"Hi, I've been waiting a couple of months for a review, I've just added tags. Any other ideas of how I can get it reviewed again please? Thanks","Hi, it looks like your draft has been reviewed, well done on it being approved. Generally, drafts can take a few months to be approved as there is a long backlog, so if it takes a long time, it isn't necessarily an issue with your draft that's stopping it. Thanks",50,1,无,0,0,0,0,1,1,0,1,0,,,,,,,,,,,,
52,random,32144,Krijama19,Pro-anti-air,Hi I am really struggling to get my first page published. Not at all understanding the rationale. I see other pages structured the same way so what am I doing wrong?,"@ Hi! I see a few issues with your draft. For example, I see that you cite Wikipedia; Wikipedia does not consider Wikipedia reliable, so we don't cite it. If you need further help, I would suggest looking at [HELP_PAGE]. Hope that helps, Thanks for this. I think I got confused on citing wiki vs referencing to other pages. Like he is listed in other places as the US Atty for Alaska so thought I was cross linking to those pages. The main issue is they are saying he is not notable enough. I have a lot of other articles but how many make him notable? @ Notability is more based on how many sources talk about the person, and what those sources are. It really is a case by case basis and there is not definite amount.",138,1,无,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,
53,random,3436,PA ZTI,Mathglot,Hi how do i create a new article,"Hi. That's something that is a bit complicated, especially for a new user. I left you a Welcome message on your user Talk page with some helpful links to ease the learning process here. One of them includes detailed information about how to create a new article, but I really don't recommend it, as the first thing you try to do here. We can talk more about what you will need to learn in order to do that, but first, can you tell me what kind of articles you are interested in, and what you might want to write about?",100,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
54,enriched,18465,Ittybittykittycommittee,Royal Autumn Crest,"Put in my first edit today after it being a bit of a brain worm. Excited to venture forth, will probably be more earth science and prehistory things.",Good job!,2,1,正面,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
55,random,338,Adonis3000z,Schazjmd,"Hi, I am attempting to add a entry to a sorted table but the formatting appears to get messed up",Hi @ and welcome. Can you post a link here to the problem edit so I can look at it to try to determine what the problem is?,28,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
56,random_replacement,597,Naushad-A-Khan,Lectonar,please help fill my details in my wikipedia page,"That's not what mentors are for; try the processs laid out at [POLICY], but keeep in mind that [POLICY].",19,,,,,,,,,,,,,,,,,,,,,,,
57,random_replacement,34104,Darnelllamar2,Rusty Cat,"Hello, mentor I would like to know About Darnell Lamar, UnitedMasters, select artist.","@ We do not have an article ""Darnell Lamar"" on Wikipedia. Did you want to start the article instead?",19,,,,,,,,,,,,,,,,,,,,,,,
58,enriched,9501,Safraj Hussain,Elli,How to change my username,"@ [POLICY] has info on this, though as I'm a global renamer, you can also just ask me if you have a name in mind.",25,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
59,random,31194,Alex 2075,Randomdude121,"Hola, puedo crear una articulo?",Why don't you check out [POLICY]:),6,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
60,enriched,14442,RabbiEMF,Jenhawk777,"Hi, how do I correct an error in this article on the Calvary statue on the Charles Bridge in Prague. It mentions a plaque placed near the statue at the request of group of North American rabbis. I was one of those rabbis present along with a representative from the Cardinal and the mayor of Prague and the year was not, as stated, 2009. It was in 2000.","Hello and welcome to Wikipedia. I have posted a welcome with a few links in it that should be read before attempting editing here. In answer to your question, you must have secondary sources. You cannot use yourself as a source - unless someone interviewed you and printed it in a newspaper or magazine or some such thing, you are not a viable WP source. You are a primary source, and primary sources cannot be used because you would have to interpret them yourself [POLICY] and they would not be verifiable [POLICY] for the reader.",95,1,无,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,
61,random,21655,Patientia1,Tol,Apparently you're my mentor. My first article on [WIKILINK] was deleted and now is moved to drafts (I was not done and it's a translation job plus article). I wrote another one on [WIKILINK] which I think is a simpler topic. Can you please look at them and tell me what needs to be fixed?,"I moved Linda Loppa out of drafts now because I think it's at least better than many articles that are published even if it needs work. I can't figure out how to link it to the French and Dutch Wikipedia articles. Can you help? Those two articles are linked to each other but I don't know how to get the English one aligned. Hi, @; welcome to Wikipedia! Based on what I can see, I think speedy deletion of [WIKILINK] was excessive; I would recommend, though, to develop articles in draftspace, as this would provide more time to expand them with much less scrutiny or worry of deletion. As for the article as it stands, I would recommend adding more [POLICY]; while [POLICY] is a fairly low bar, it is generally preferable to have more information cited inline. I would additionally suggest citing more [POLICY] (not Polimoda itself). For [WIKILINK], I would also recommend relying more on secondary sources and improving some wording (e.g. specifically what ""series of high-tech innovations""?). [HELP_PAGE] are done through the [WIKILINK] project; the relevant item here is. However, you can add them directly in Wikipedia by selecting ""Add interlanguage links"" (if you use the default interface, this is in the right-side ""Tools"" menu/sidebar). Here, you would put ""frwiki"" or ""nlwiki"" for the languages' wiki codes. I hope this helped; please let me know if you have any further questions.",234,1,无,0,0,1,1,1,0,0,1,1,,,,,,,,,,,,
62,random_replacement,30704,Dipeshtelor,KuyaMoHirowo,My first article [DRAFT] review my draft and get back feedback,"Hello, @. Please see, which is declined by Thilio. • [WIKILINK]",11,,,,,,,,,,,,,,,,,,,,,,,
63,enriched,28183,Ananyakohli2208,Destinyokhiria,"Hi! I'm looking to add a wikipedia page, how would I go about doing that?",See [HELP_PAGE].,2,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
64,enriched,11798,St248342,Zoozaz1,How to create an article?,see [POLICY].,2,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
