conversation_id,turn_index,speaker_role,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,INCOHERENT,UNSUBSTANTIAL,SPAM,INFLAMMATORY,LIKELY_TO_REJECT,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,OBSCENE,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL,SEXUALLY_EXPLICIT,FLIRTATION
107,1,assigned_mentor,0.015896067,0.0014019012,0.0052166977,0.008576883,0.017299367,0.009100696,0.47851568,0.8307522,0.40457368,0.04844112,0.78887165,0.1735781,0.24867398,0.047935955,0.61125165,0.295208,0.50670487,0.075921685,0.5646295,0.06554289,0.77763003,0.013210886,0.40806046
131,1,assigned_mentor,0.069754265,0.0019836426,0.01191331,0.030816011,0.026590679,0.010835429,0.32932785,0.26815182,0.95012516,0.04577533,0.48793367,0.84002227,0.32630217,0.00946736,0.8724846,0.72716504,0.6826769,0.8153669,0.5571722,0.9226633,0.8715775,0.012444182,0.289766
132,1,assigned_mentor,0.018723432,0.00077724457,0.005438685,0.0113889,0.015420608,0.0074048014,0.026067035,0.09459612,0.09710112,0.004557566,0.17036954,0.08627002,0.030310195,0.001127704,0.8649415,0.4629674,0.76162916,0.79939896,0.42309648,0.8099249,0.7805434,0.009200439,0.24140109
132,3,assigned_mentor,0.020960633,0.00074863434,0.0025158543,0.010780896,0.01261955,0.0071199946,0.29137486,0.75589156,0.10951385,0.19978555,0.61798906,0.55573404,0.91031176,0.021824246,0.7223729,0.50537336,0.69216055,0.1646235,0.32169995,0.1842873,0.7901836,0.005514365,0.17408438
133,1,assigned_mentor,0.11109332,0.0024604797,0.012340514,0.037395194,0.04642162,0.0100069,0.2939528,0.50054514,0.9761621,0.043446112,0.69180375,0.3250426,0.10634068,0.05586085,0.3490295,0.295208,0.50670487,0.39891765,0.44040865,0.540311,0.7110991,0.018400878,0.3560033
133,2,assigned_mentor,0.09741997,0.002231598,0.009249465,0.029053112,0.023174755,0.009981008,0.22440992,0.49546665,0.6200629,0.07111033,0.81585324,0.7164586,0.59201556,0.010443556,0.43502024,0.37545997,0.37695223,0.37240976,0.58695143,0.45036626,0.7186266,0.01332884,0.31239256
134,1,assigned_mentor,0.075294,0.002632141,0.016762028,0.031146556,0.034146797,0.009359611,0.60361993,0.291919,0.9354849,0.12945686,0.5749631,0.84618914,0.65988517,0.17190936,0.7837841,0.50537336,0.6217292,0.8773216,0.7423025,0.93046486,0.84807456,0.017221333,0.43244785
135,1,assigned_mentor,0.018095128,0.0009822845,0.005512681,0.012262905,0.017504321,0.00866054,0.26473737,0.27973753,0.9590444,0.06729595,0.48934776,0.7714438,0.02012115,0.0055537727,0.7012169,0.40584844,0.30439052,0.73220044,0.49822038,0.8817191,0.84738415,0.009908165,0.3342338
137,1,assigned_mentor,0.018723432,0.0011777878,0.008028535,0.011996903,0.019690514,0.008492245,0.16047327,0.22202162,0.8253275,0.02616252,0.21372625,0.091105185,0.0752956,0.0056069666,0.6870993,0.26587802,0.78739625,0.9007764,0.7337994,0.923547,0.74072933,0.012326228,0.4062259
137,3,assigned_mentor,0.09655223,0.0020217896,0.008361516,0.04032305,0.029186781,0.0076637166,0.28888875,0.3215953,0.38682434,0.044347413,0.12159789,0.26408774,0.35579506,0.020734947,0.8831639,0.8318687,0.70569736,0.42163965,0.7611585,0.52795714,0.8928854,0.012385205,0.20411442
138,2,assigned_mentor,0.06065326,0.0017356873,0.010211408,0.025026767,0.02344803,0.00933372,0.54969835,0.37546998,0.9590444,0.08321179,0.5404265,0.066637054,0.33687958,0.023884276,0.25620747,0.43804368,0.42085946,0.5138473,0.41454095,0.6779779,0.73560685,0.0101440735,0.38436598
140,1,assigned_mentor,0.016712861,0.001001358,0.004994711,0.009298887,0.016411226,0.008103873,0.22710526,0.77580434,0.07946151,0.072444566,0.87923026,0.27630395,0.6454001,0.02343777,0.16763918,0.08410463,0.8947231,0.09593091,0.14489743,0.033381723,0.60836476,0.009318393,0.24321947
141,1,assigned_mentor,0.021667719,0.0009536743,0.0039402717,0.0116169015,0.014566627,0.008090926,0.30419084,0.57769436,0.20217374,0.10740082,0.766772,0.78302526,0.18824944,0.02527667,0.58071953,0.649798,0.4053087,0.46015275,0.16818035,0.79672873,0.8519463,0.008197826,0.24256779
142,1,assigned_mentor,0.01218908,0.0007915497,0.00466173,0.0086718835,0.014054239,0.008505191,0.09826364,0.19369276,0.9590444,0.014785074,0.653939,0.12971488,0.105512574,0.010622289,0.7737666,0.45045236,0.6023432,0.6327271,0.41454095,0.85665244,0.82994854,0.009731233,0.26708952
143,1,assigned_mentor,0.03109552,0.0014209747,0.009212466,0.017420914,0.024267852,0.009618527,0.44919786,0.25354776,0.9590444,0.077242225,0.28122985,0.47998437,0.18889423,0.07083934,0.8608342,0.67897946,0.63008696,0.7399573,0.45798773,0.8941783,0.8627126,0.0150981555,0.29604113
144,2,assigned_mentor,0.0201057,0.0009059906,0.0051427023,0.011198899,0.015454767,0.008764107,0.47226173,0.4349577,0.8619239,0.11845077,0.54256177,0.7863299,0.07347993,0.039994385,0.659063,0.43311197,0.5271598,0.6762458,0.6589702,0.8345497,0.7590828,0.0077849864,0.32747644
145,1,assigned_mentor,0.03357032,0.001449585,0.006992595,0.01640493,0.020988565,0.009877442,0.49928766,0.55914134,0.50188416,0.2019988,0.7820809,0.6951589,0.6400475,0.10951887,0.29000965,0.18324591,0.72525674,0.5037081,0.41454095,0.6119776,0.74987966,0.013505772,0.3110454
146,1,assigned_mentor,0.032627538,0.0011253357,0.009471451,0.015264924,0.019075647,0.0076637166,0.27285478,0.28285804,0.27407107,0.06504068,0.1604839,0.19979194,0.21481417,0.023213873,0.8791021,0.8036778,0.7002403,0.7510252,0.7823313,0.7560045,0.8483331,0.0108517995,0.26386568
148,1,assigned_mentor,0.0201057,0.00092983246,0.003903274,0.010362893,0.013985921,0.0074824756,0.6786796,0.59934604,0.33873436,0.18282788,0.5247886,0.10763026,0.5814751,0.04305489,0.7223729,0.57017535,0.88184565,0.28532833,0.7105217,0.29028967,0.66268384,0.0071362373,0.17767942
148,3,assigned_mentor,0.025320992,0.0012969971,0.004088263,0.013402912,0.016342908,0.0084793,0.23547418,0.34746185,0.052185882,0.030157337,0.18929264,0.026975641,0.11808253,0.0148911765,0.85890913,0.6737941,0.4760018,0.16462365,0.82542026,0.2006432,0.8460832,0.009082484,0.22680531
149,1,assigned_mentor,0.02035702,0.0010871887,0.0042917514,0.0118069025,0.01620627,0.008246276,0.12565194,0.23368375,0.9590444,0.04554061,0.18201828,0.7298058,0.23338395,0.010328657,0.821676,0.30014867,0.75107044,0.74733955,0.6347407,0.85804206,0.8181226,0.010321004,0.27282777
150,1,assigned_mentor,0.0126288915,0.00072956085,0.0039957687,0.008956885,0.014395831,0.00789674,0.09489586,0.47705868,0.7082519,0.033079114,0.46701348,0.7992361,0.14858806,0.005110774,0.48557195,0.29028782,0.28168494,0.41027176,0.6360734,0.6678179,0.840462,0.0087286215,0.30164993
152,1,assigned_mentor,0.014827953,0.0010204315,0.010655383,0.009564889,0.015147334,0.008220384,0.56521446,0.57276624,0.52403784,0.49165,0.65954053,0.73695487,0.7572944,0.11976233,0.7988805,0.5354952,0.58407766,0.68110603,0.24585414,0.7560045,0.86061394,0.007961918,0.40577736
153,1,assigned_mentor,0.054531995,0.001964569,0.014350293,0.022512967,0.026590679,0.0103175985,0.054479066,0.09743669,0.49969837,0.0071022017,0.10919136,0.008152976,0.003725341,0.0067808954,0.5451766,0.7459336,0.2849132,0.7712612,0.55903226,0.90312505,0.8320208,0.01604179,0.25210202
154,1,assigned_mentor,0.019980038,0.0009202957,0.0041992567,0.010400894,0.015454767,0.007870848,0.10750373,0.6255845,0.049400005,0.05045125,0.9215016,0.64601046,0.10046471,0.010955141,0.34428665,0.10406192,0.93095714,0.07721052,0.14817217,0.03251484,0.7208855,0.008492713,0.16191487
154,3,assigned_mentor,0.016210219,0.00076293945,0.0042732526,0.009640889,0.014225035,0.007948523,0.24969918,0.30323985,0.40639293,0.027445579,0.22155686,0.14202324,0.15701137,0.0055177542,0.09478988,0.18324591,0.46981418,0.47384804,0.068420574,0.5114739,0.68313,0.0101440735,0.21082263
156,1,assigned_mentor,0.015204934,0.0014972687,0.00569767,0.009127886,0.017299367,0.009851551,0.3920444,0.6876877,0.88244385,0.015084328,0.5941912,0.06446553,0.051936775,0.014171254,0.67304623,0.21371089,0.31089067,0.05854601,0.5571731,0.099459566,0.8501649,0.014921224,0.5397721
157,1,assigned_mentor,0.011246625,0.001001358,0.005364689,0.008234881,0.016103793,0.008259222,0.6353579,0.668863,0.5443132,0.14023027,0.4895808,0.4442533,0.48477548,0.062250454,0.5361198,0.17903294,0.41152802,0.23322266,0.48033276,0.49508375,0.86140144,0.013505772,0.37450016
158,1,assigned_mentor,0.013948329,0.00096797943,0.0065856185,0.009488888,0.016957775,0.008013252,0.55159706,0.58549803,0.93607247,0.09197802,0.46940327,0.21699,0.39762312,0.046820108,0.44872296,0.40584844,0.649696,0.538375,0.26317877,0.6366533,0.8022112,0.010026119,0.3402093
160,1,assigned_mentor,0.017592486,0.00071048737,0.004920715,0.011046898,0.014122557,0.007327127,0.2856785,0.27921876,0.47902218,0.1785086,0.3123019,0.6182871,0.6610622,0.030686438,0.8861251,0.60723394,0.65063334,0.60589164,0.62810177,0.7784214,0.8646326,0.007313169,0.24352312
161,1,assigned_mentor,0.045378547,0.0012302399,0.007843546,0.021675033,0.020510335,0.008039144,0.2629616,0.18410498,0.61813647,0.15232608,0.30589047,0.86986744,0.6663529,0.045481656,0.5268742,0.8058045,0.5601192,0.7685249,0.34038833,0.8708807,0.85280365,0.010321004,0.19146532
162,1,assigned_mentor,0.012691722,0.0012779236,0.009249465,0.00810188,0.016103793,0.008815889,0.15906943,0.5520984,0.48059314,0.10882488,0.43664232,0.1249218,0.07723407,0.0163934,0.87480843,0.55273634,0.47290647,0.1855407,0.575901,0.49383193,0.9129076,0.013033954,0.45553383
163,1,assigned_mentor,0.011309455,0.0009727478,0.004994711,0.008842885,0.016821137,0.008634649,0.5302029,0.15562858,0.9761621,0.018983483,0.6057287,0.03200901,0.057412483,0.010330359,0.78002304,0.54409075,0.5524742,0.8121051,0.57025254,0.8921436,0.8403838,0.012562137,0.27647763
164,2,assigned_mentor,0.021432023,0.0010681152,0.001812895,0.011198899,0.014395831,0.0078449575,0.2501215,0.77508736,0.05699487,0.16264878,0.66430974,0.053255357,0.91189426,0.03998344,0.72545767,0.7260679,0.73101234,0.057351746,0.2501548,0.10533423,0.8840493,0.009908165,0.2534755
165,2,assigned_mentor,0.028620722,0.0013446808,0.013244915,0.0154929245,0.021330157,0.009048914,0.55083954,0.14312638,0.9546266,0.08121482,0.36120132,0.1727056,0.30120516,0.04623415,0.26038375,0.82991517,0.46672553,0.862467,0.6006802,0.9190861,0.8534192,0.016749516,0.31123728
165,4,assigned_mentor,0.049336795,0.0017642975,0.006955597,0.016708933,0.019963788,0.013010317,0.5090799,0.3349957,0.81802624,0.050774086,0.3512352,0.12598105,0.59201556,0.011206291,0.71184725,0.6998715,0.58037287,0.6356146,0.5060548,0.7833377,0.8662876,0.0122672515,0.27018324
165,6,assigned_mentor,0.0466155,0.0015258789,0.0071405866,0.020063626,0.020373698,0.007754337,0.061561693,0.12543686,0.2528585,0.014382176,0.18720393,0.11980161,0.02778733,0.001977987,0.2112324,0.15040241,0.7460129,0.6882734,0.11932864,0.6880883,0.70948786,0.013210886,0.19406283
166,1,assigned_mentor,0.013445686,0.0009441376,0.0056236745,0.0107048955,0.017367685,0.0082074385,0.44114932,0.22083402,0.9590444,0.011318186,0.2972082,0.04428493,0.011733142,0.006604605,0.87297344,0.4604559,0.46981418,0.7014114,0.6508378,0.9021479,0.8750237,0.0122672515,0.38560978
167,1,assigned_mentor,0.019351736,0.0010204315,0.0050317086,0.009944891,0.015591404,0.008323951,0.6495989,0.72937065,0.619067,0.3512517,0.67021036,0.3263692,0.35317567,0.46801838,0.07133641,0.07972691,0.15272859,0.094551705,0.079831116,0.1229493,0.5370998,0.010321004,0.40605688
168,1,assigned_mentor,0.05230548,0.0014877319,0.009027477,0.020772645,0.018802373,0.008077981,0.49218267,0.65141,0.93540025,0.096396804,0.82152474,0.07304338,0.20453054,0.080377765,0.30710298,0.2610316,0.25922304,0.0877528,0.5627609,0.20229058,0.5116173,0.010379982,0.33659023
169,1,assigned_mentor,0.014953613,0.0010156631,0.004846719,0.008785884,0.015659723,0.008090926,0.3017244,0.7777774,0.14927788,0.07379964,0.8745255,0.3668642,0.63240963,0.03289075,0.18892685,0.083219685,0.88184565,0.091812685,0.1383993,0.031652417,0.5743767,0.009672256,0.23278269
170,1,assigned_mentor,0.02308189,0.0009441376,0.006289636,0.012186904,0.017436003,0.008789998,0.1701218,0.08951515,0.63641614,0.015940545,0.16962497,0.027718144,0.22826467,0.012992751,0.49014556,0.1960027,0.6208023,0.7731764,0.068420574,0.87308127,0.75447476,0.008787598,0.312528
170,3,assigned_mentor,0.022610499,0.0010538101,0.0059936526,0.011198899,0.016411226,0.00780612,0.34810343,0.36458194,0.8233858,0.03584904,0.19078815,0.04412551,0.34164014,0.01577387,0.09478988,0.05585675,0.9774192,0.32767263,0.07158562,0.3535793,0.6863013,0.010262027,0.18737072
172,1,assigned_mentor,0.023788974,0.0006389618,0.00155391,0.013174911,0.0108774295,0.006550381,0.30532166,0.802991,0.0358579,0.19510853,0.6048106,0.105903976,0.82140714,0.028640565,0.50845575,0.3051104,0.50928706,0.07850564,0.09220012,0.088044226,0.69266486,0.0032290001,0.2038346
173,1,assigned_mentor,0.034277402,0.0017166138,0.010211408,0.017012933,0.022218296,0.010058682,0.61957705,0.3778918,0.95026517,0.1116411,0.3309275,0.19188125,0.052475885,0.060242686,0.87126386,0.22768863,0.8542163,0.7301028,0.4274001,0.86977464,0.86689657,0.01875474,0.50234085
173,4,assigned_mentor,0.015833238,0.001001358,0.0027193425,0.009051885,0.014771583,0.0077154995,0.6832336,0.6572286,0.43419337,0.29358542,0.46940914,0.39419082,0.59201556,0.35198507,0.79006493,0.18747956,0.27846095,0.2219624,0.38824895,0.43050492,0.8458411,0.009141461,0.5389134
173,6,assigned_mentor,0.016838523,0.00093460083,0.0051797,0.010134893,0.015523086,0.008077981,0.5031746,0.113699876,0.60603154,0.06702172,0.089525536,0.0793915,0.014653805,0.21048385,0.4809416,0.43804368,0.6874156,0.7571182,0.19665048,0.877433,0.83424187,0.010438959,0.38939422
173,9,assigned_mentor,0.017466826,0.0013923645,0.0045692353,0.009279887,0.015557245,0.009644418,0.49206996,0.38648328,0.5378122,0.02051117,0.24473996,0.11449939,0.0069859438,0.058983542,0.7153996,0.3651927,0.29462904,0.2987835,0.4188109,0.4854907,0.86637473,0.01209032,0.29676148
174,1,assigned_mentor,0.025556687,0.0012588501,0.008102531,0.015036922,0.020783609,0.008919456,0.45547488,0.21529478,0.5707217,0.034461234,0.15745965,0.035629172,0.05782447,0.0041391067,0.8821781,0.6178163,0.7338932,0.6409138,0.6162566,0.8795843,0.9016522,0.011972365,0.46492037
175,1,assigned_mentor,0.013131535,0.0008678436,0.004236255,0.008766884,0.014327513,0.008077981,0.018332794,0.011572428,0.024051815,0.000846856,0.059744757,0.00084603886,0.018979464,0.000821531,0.676554,0.42085215,0.5499311,0.5497036,0.34038714,0.79672873,0.84319985,0.009613278,0.3237897
176,1,assigned_mentor,0.010681152,0.0009775162,0.0044582416,0.00817788,0.014669105,0.008738215,0.22136964,0.2900206,0.5609251,0.058259882,0.38522312,0.03335955,0.2558533,0.028686319,0.2112324,0.2707451,0.73865104,0.45237622,0.21249112,0.62485194,0.8386245,0.011146685,0.36758474
177,2,assigned_mentor,0.03192045,0.0011396408,0.006030651,0.016100928,0.01764096,0.008129764,0.4786044,0.18564571,0.75805676,0.033956986,0.21972595,0.20767026,0.064129636,0.017325439,0.88927674,0.55490553,0.5196176,0.7473053,0.5278084,0.8951893,0.915636,0.010615891,0.24040739
179,1,assigned_mentor,0.019351736,0.0011444092,0.0045322375,0.010628895,0.015898837,0.008168601,0.07919908,0.62381124,0.031530134,0.07386438,0.9215016,0.6711948,0.30367953,0.00944932,0.7347321,0.24661607,0.8857046,0.18907832,0.54976135,0.112459674,0.8603516,0.01020305,0.28907353
179,3,assigned_mentor,0.02920996,0.0009965897,0.0032003147,0.013212911,0.014703264,0.007353018,0.32504344,0.75567764,0.11876843,0.1962773,0.6653153,0.1841252,0.69948894,0.14620237,0.47631788,0.31996724,0.8565053,0.23322266,0.41454095,0.3064176,0.7006536,0.008787598,0.43196586
182,1,assigned_mentor,0.038991302,0.0013065338,0.0039772694,0.015796926,0.015454767,0.0086087575,0.15993042,0.39060494,0.044168707,0.039443705,0.2443303,0.028938593,0.3596964,0.0037946717,0.102570616,0.1345139,0.69596136,0.15776905,0.060831316,0.3321029,0.72465837,0.008610667,0.22202593
183,1,assigned_mentor,0.04686289,0.0015544891,0.0076215584,0.01890341,0.021535112,0.009644418,0.20426832,0.27122733,0.42767525,0.059235454,0.5279933,0.1385037,0.33922637,0.11886109,0.10759854,0.1305884,0.6788904,0.7071381,0.37374175,0.7635289,0.46750104,0.012444182,0.26196286
185,1,assigned_mentor,0.0143253105,0.00076293945,0.0045137387,0.008538882,0.014361672,0.007598988,0.14678122,0.29152274,0.6048635,0.026685989,0.5279933,0.007257157,0.07284567,0.009421824,0.0846733,0.077156395,0.23698795,0.2638845,0.103914276,0.37858042,0.54630893,0.01020305,0.25657147
186,2,assigned_mentor,0.04834723,0.0013446808,0.0065486208,0.02618698,0.016752819,0.007857903,0.6769569,0.5980784,0.93607247,0.09685345,0.44049105,0.497156,0.21281475,0.027505193,0.3919266,0.6686224,0.23698795,0.52607775,0.26317877,0.8205714,0.85172635,0.009200439,0.18792701
186,3,assigned_mentor,0.035220183,0.0018405914,0.0071405866,0.020321451,0.02249157,0.008738215,0.7775916,0.72937065,0.5037768,0.23471075,0.75625217,0.3282869,0.7084979,0.26399973,0.7737666,0.49788934,0.23698795,0.04688629,0.62810177,0.07281955,0.84443295,0.013092931,0.19682902
187,1,assigned_mentor,0.048099842,0.0015354156,0.0065486208,0.01890341,0.018802373,0.008401625,0.7918847,0.751994,0.5546456,0.18139213,0.73029876,0.14207482,0.6516866,0.13019745,0.105915576,0.09472134,0.8431842,0.05380754,0.11621246,0.0049069095,0.39307284,0.009967142,0.22779696
188,1,assigned_mentor,0.03192045,0.001206398,0.004402745,0.01617693,0.016547862,0.008077981,0.530164,0.63439137,0.8253275,0.07494667,0.7797119,0.8330762,0.16104873,0.027529098,0.47631788,0.1305884,0.75511897,0.4699233,0.48033276,0.7258537,0.845258,0.012385205,0.27302077
189,1,assigned_mentor,0.057748068,0.0022029877,0.007917541,0.020256994,0.019895468,0.016810767,0.47066206,0.5257143,0.93607247,0.092515506,0.859932,0.6408448,0.5684611,0.053651415,0.6765534,0.7685427,0.4084155,0.24843976,0.6334105,0.46447352,0.7619688,0.0122672515,0.25395814
190,1,assigned_mentor,0.020607091,0.0013160706,0.0052906936,0.0114649,0.018255826,0.009048914,0.6065113,0.79885787,0.72457683,0.13493784,0.75124115,0.3597125,0.59201556,0.058251467,0.411122,0.09935597,0.8444743,0.064608976,0.32169995,0.07281955,0.6799654,0.014508383,0.33171433
192,1,assigned_mentor,0.023671126,0.0019073486,0.0058086636,0.011692902,0.02030538,0.01187109,0.6968442,0.7523826,0.8546496,0.07316378,0.6458805,0.15053229,0.335183,0.0414943,0.5495981,0.36519355,0.27524418,0.033701003,0.49432364,0.1208366,0.8235886,0.018282922,0.3379477
192,3,assigned_mentor,0.049089402,0.0020980835,0.010063417,0.01961243,0.025087673,0.01086132,0.52557796,0.6750208,0.8319711,0.074931175,0.80991673,0.14805974,0.18245682,0.054181688,0.7662786,0.37031704,0.4544092,0.1855407,0.7376198,0.30461836,0.84865767,0.01710338,0.37800103
192,5,assigned_mentor,0.04067813,0.0015068054,0.006474625,0.018001022,0.020373698,0.010110466,0.50262254,0.62298006,0.93376625,0.08795656,0.6734423,0.13416648,0.4066392,0.027659725,0.11207716,0.33486494,0.49127603,0.09795276,0.276386,0.25151935,0.6272678,0.012739069,0.23809464
192,7,assigned_mentor,0.03734144,0.0020122528,0.0071405866,0.015720926,0.02167175,0.010239923,0.50957257,0.7982188,0.5445299,0.15171272,0.87923026,0.49540064,0.7114019,0.03603121,0.5268719,0.31504107,0.20059514,0.0412869,0.56089514,0.117681235,0.63488066,0.016395653,0.24912646
193,1,assigned_mentor,0.028620722,0.0011491776,0.0047727237,0.014960921,0.016342908,0.008427517,0.56574816,0.7649988,0.8253275,0.0767661,0.66729516,0.7225136,0.32858926,0.019714128,0.61125165,0.44299427,0.17310774,0.11509684,0.6427608,0.31815532,0.75965947,0.011264639,0.25870422
194,1,assigned_mentor,0.03875561,0.0010824203,0.005401687,0.018258847,0.01627459,0.00756015,0.6337207,0.68459207,0.29022983,0.15971854,0.6245693,0.4560591,0.77182096,0.041972876,0.21934204,0.077156395,0.8416336,0.1442325,0.22052856,0.09483982,0.47185126,0.008374758,0.25212044
195,1,assigned_mentor,0.09525062,0.0018405914,0.0055866763,0.032689095,0.022696527,0.0091524795,0.47148192,0.71413046,0.0927401,0.26140845,0.7195984,0.37582445,0.91189426,0.036007628,0.2112324,0.28050852,0.557568,0.103614636,0.16818035,0.114542365,0.44173652,0.013033954,0.286399
196,1,assigned_mentor,0.026028076,0.0010251999,0.004180758,0.012224905,0.017094411,0.0073789097,0.53469837,0.8923531,0.18608148,0.1064151,0.87923026,0.12932177,0.6567251,0.0630147,0.4063117,0.1917308,0.60418224,0.09317896,0.28082925,0.04229654,0.52796566,0.009849187,0.23899648
197,1,assigned_mentor,0.027677942,0.001077652,0.005771666,0.014884921,0.016479544,0.0077672824,0.43389824,0.8307522,0.45044047,0.06995269,0.6150684,0.74121517,0.2748575,0.015686482,0.21934204,0.42329502,0.15779504,0.11220648,0.3882483,0.31453595,0.7006536,0.010969753,0.23887597
198,1,assigned_mentor,0.028031485,0.001821518,0.017465452,0.012262905,0.02126184,0.009463178,0.6964158,0.751994,0.5545757,0.09980991,0.6630861,0.050457485,0.16980141,0.2368701,0.29854152,0.12668301,0.30113143,0.06957324,0.24157377,0.08360316,0.5537296,0.01769315,0.3050641
199,1,assigned_mentor,0.032863233,0.0009536743,0.0043102503,0.017292,0.015625564,0.007081157,0.5370758,0.55627733,0.8044845,0.090632446,0.69364244,0.2952961,0.33321258,0.042605158,0.84710205,0.1305884,0.7876134,0.5037081,0.8092395,0.6707256,0.8762251,0.008256803,0.2099842
199,3,assigned_mentor,0.025910228,0.0012588501,0.0062526376,0.012452906,0.018392462,0.007314181,0.88108414,0.72111607,0.8057177,0.102249235,0.67051125,0.029142987,0.021525007,0.46195498,0.58966595,0.25620604,0.26882416,0.0746392,0.7257687,0.07815442,0.6689434,0.014095544,0.33072573
200,1,assigned_mentor,0.10826672,0.0019359589,0.0070665907,0.03522326,0.024404489,0.009851551,0.5896356,0.66179526,0.57456356,0.21881741,0.64870536,0.2711289,0.72761667,0.08939585,0.46709174,0.33987063,0.6328793,0.12436983,0.59622604,0.21555991,0.56494826,0.011382594,0.26423508
202,1,assigned_mentor,0.038519915,0.0016403198,0.008694496,0.017743196,0.022218296,0.010265815,0.43676803,0.4760113,0.9355046,0.0735691,0.6838409,0.61151433,0.12540776,0.01621758,0.29854152,0.56579727,0.5196176,0.56627274,0.35939887,0.81585664,0.85982597,0.012857023,0.39069209
