group_id,qc_label,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits,mentee_n_edits_7d,mentee_acct_age_hours,mentee_mainspace_ratio,mentee_n_unique_ns,reply_words,reply_lag_hours,question,reply
3,qc_1,13047,3,3,1,3.0,3.0,81.4,1.0,1.0,13.0,17.4,How to create a citation,"Suresona Please see [POLICY]. If you have any questions, please let me know!"
3,qc_1,15405,0,0,0,1.0,1.0,50.7,0.0,1.0,21.0,6.7,How do I create a citation,Josephakande2025 There's a tutorial on referencing and creating citations [POLICY] - let me know if you have any other questions! '
3,qc_1,4205,0,0,0,4.0,4.0,36.3,0.0,2.0,44.0,3.1,How do I create a citation?,"Hi Albert Cuen and welcome to Wikipedia. To create citations, the simplest way is to use one of the following tools: [POLICY] or [POLICY]. I personally use the latter because the parameters of the citation can often be generated automatically from a url. Cheers,"
3,qc_1,33706,0,0,0,1.0,1.0,55.6,1.0,1.0,5.0,11.3,How do I create a citation?,"@: [POLICY] should help. Regards,"
4,qc_1,3050,11,20,1,2.0,2.0,0.1,0.0,2.0,4.0,1.4,How do I make a citation?,"@, please review [HELP_PAGE]."
4,qc_1,34454,0,1,0,1.0,1.0,0.2,1.0,1.0,4.0,25.3,How do I make a citation,@: Hello! See [HELP_PAGE].
4,qc_1,27044,0,0,0,0.0,0.0,0.1,0.0,0.0,4.0,30.6,How do I make citation,@ Please see [HELP_PAGE].
4,qc_1,175,0,0,0,3.0,3.0,0.8,0.333,2.0,52.0,2.5,"Hello, how do you make a citation?","Hello! There's a lot of documentation about adding citations at [POLICY]. You can do inline citations just by adding the information inside a tag, and you can do a lot more complicated citations with various [TEMPLATE_REF] tags.
Let me know if you need more guidance or have questions about a specific situation."
5,qc_1,651,3,6,0,2.0,2.0,9.4,0.0,1.0,15.0,0.2,How do i create a citation?,Hi . Take a look at [HELP_PAGE] and let me know if you get stuck.
5,qc_1,6216,4,4,1,0.0,0.0,0.0,0.0,0.0,18.0,0.6,How to create citation?,"Read [POLICY] for guidance. If you have specific questions, you can ask me for specific information. Cheers, :"
5,qc_1,17031,0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,3.3,How do i create a citation?,"Hello . You might find it helpful to read [HELP_PAGE]. Happy editing,"
5,qc_1,31780,0,0,0,2.0,2.0,0.9,0.5,2.0,2.0,0.9,How do i create a citation,See [POLICY].
5,qc_1,10801,0,0,0,0.0,0.0,0.3,0.0,0.0,17.0,200.4,How do i create a citation,"Hi , and welcome to Wikipedia! You can find information on creating a citation at [HELP_PAGE] —"
6,qc_1,35349,3,3,1,0.0,0.0,0.0,0.0,0.0,25.0,1.1,How can I add citation,"@ A quick way to do it is to do insert citation here. If you want to format it better, you can read more [POLICY]"
6,qc_1,3570,0,0,0,0.0,0.0,0.1,0.0,0.0,88.0,24.7,How do I add a citation?,"Alexander - Ashley Check out [HELP_PAGE] and let me know if you have any more questions. Good luck! By the way, I see that you added a reference to Wikipedia in [LINK], and then another editor came along and substituted it out for another non-Wikipedia reference (the reference cited in the Wikipedia article you put in the footnote). Per [POLICY], it's not a good idea to cite to Wikipedia. But of course you can always cite to other reliable sources that Wikipedia cites. Good luck and happy editing!"
6,qc_1,19746,0,0,0,0.0,0.0,0.0,0.0,0.0,33.0,0.3,"Hi, how do I add a citation?","Hi, and welcome to Wikipedia. There are guides for adding citations on Wikipedia:
If you prefer to use the [POLICY], see [HELP_PAGE]
If you prefer to use the [POLICY], see [HELP_PAGE]
Best regards,"
6,qc_1,16949,0,0,0,0.0,0.0,0.1,0.0,0.0,8.0,0.0,"Hi
How can I add a new citation","Hi Gina Curmi, have a read of [HELP_PAGE]."
7,qc_1,35536,3,3,1,0.0,0.0,0.0,0.0,0.0,40.0,0.1,"Hello
How do I create citations??","@ To oversimplify, you type in insert reliable reference here. There's a few citation templates that you can put in between in the ref tags, but what I just did is the basic gist of it. [POLICY] has more information."
7,qc_1,25915,0,0,0,2.0,2.0,23.8,0.5,2.0,4.0,8.6,"Hello
How do I create a citation?",@ info at [POLICY].
7,qc_1,547,0,0,0,0.0,0.0,0.0,0.0,0.0,140.0,236.4,Hello How do I create a citation?,"Hello LynnOConnorF, and welcome to Wikipedia. I'm sorry i've been a little slow in answering; i hope this will help. There are a couple of page you can look at to help with adding references, you can fine them at [POLICY] and especially [POLICY] and [POLICY]. For me, the easiest way to add a citation is to use a pair of X tags and then use a CS1 template between the tags (where i have put ""X""). You can learn about these templates at [HELP_PAGE]; the simplest to use is usually [CITATION] which requires an URL and website and title, as explained in the HELP link i gave. I hope this is helpful information for you; if i can help in any other way (or if this need clarifying!), please do ask and i will try to answer quickly ~"
7,qc_1,7642,0,0,0,0.0,0.0,1.5,0.0,0.0,11.0,0.8,"Hello
How do I create a citation?",LeTwoeight Rsa Hello. You can find relevant information at [HELP_PAGE]. —usernamekiran
8,qc_24,39640,3,4,1,2.0,2.0,0.5,1.0,1.0,25.0,47.3,How do i publish a draft ive done,"There should just be a published button that you can click. If you are submitting it to AFC, you have to wait a bit.
publish"
8,qc_24,16395,0,0,0,4.0,4.0,1.5,0.75,2.0,184.0,13.7,"Hello, how do I publish my draft?","Hi Shugg670987 and welcome to Wikipedia. Sorry for the delay, it was thanksgiving for me yesterday and I was spending time with friends. I assume you're talking about [DRAFT]? [POLICY] explains a lot about drafts if you're curious, but I've added a template for you that has a button you can press to submit the draft for someone else to review.
Reading [POLICY] about creating new articles may be informative. While it sounds like Ormsby makes interesting Minecraft parody songs, to have an article on Wikipedia he would have to meet our [POLICY]. The best way to ensure that is to have three sources that are independant and [POLICY] that talk about his work [POLICY]. It may be the case that you cannot find sources like this no matter how hard you try. While that can definitely be disappointing, there's still plently else you could do here. There's a wikiproject dedicated to improving YouTube-related topics: [POLICY]. Maybe you'd find it interesting? There's also [POLICY].
If you need me to clarify anything or any other questions, feel free to come back here and ask whenever."
8,qc_24,9059,0,0,0,0.0,0.0,0.2,0.0,0.0,133.0,7.5,Hello! How do I publish a draft?,"Mattdimarc, well at the moment your draft has been put up for review, which could take a little bit, so be patient. However, your draft as it is currently will not be accepted, because it does not show that you are [POLICY]. To fix that, you will need high quality [POLICY]. I have just declined your draft to that effect. At the top will be the decline reasons. You should follow some of the blue links and learn more about the process. Also, you should realize that your draft is written like an advertisement. Wikipedia is not for promotion. Our articles are written [POLICY], in an encyclopedic style that does not puff up the subjects. There is definitely a lot to take in here, so don't be afraid to post followup questions :)"
8,qc_24,432,0,0,0,1.0,1.0,0.3,0.0,1.0,58.0,5343.6,"Hi, I just created a draft and I would like to publish it","Hello TheArtistDaveG; i apologise for not replying sooner; i have been off Wikipedia for a couple of months and not terribly active for a few prior to that. If you still require assistance, please feel free to start another section at the bottom of this (my) talk page, and i will do what i can to help ~"
