group_id,qc_label,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits,mentee_n_edits_7d,mentee_acct_age_hours,reply_words,reply_lag_hours,question,reply
3,qc_2,34530,11,26,1,6.0,6.0,10.9,11.0,5.7,How do I add userboxes to my profile?,", welcome to Wikipedia! See [POLICY] for some information. Best, —"
3,qc_2,22618,7,12,1,2.0,2.0,14.1,23.0,7.8,How do I create a userbox for my account?,"you can use [WIKILINK] and modify it to change the color, image, etc. Information on how templates work can be found at [HELP_PAGE]."
3,qc_2,18332,0,0,0,1.0,1.0,4.3,225.0,672.5,Hello! How do I add userboxes on my user page?,"Hi Awkwardmarie, sorry about the slow response, I've let a backlog of questions build up on this talk page lately and I have not been staying on top of them as well as I should be. You can find a list of userboxes at [POLICY]. So, for instance, you could go to [POLICY], to see an example. There is wikitext presented in the first column, with the userbox template, along with the userbox, or transclusion of that userbox, in the second column. The wikitext is the code you add to your userpage to make it appear, and the transclusion is what appears. But, if you already know the userbox you are going to add: check the page title, copy it without ""Template:"". Go to your userpage, create page, add two curly brackets at the beginning, the pagename you've copied, and two curly brackets at the end. It should look a bit like this: . If you are copying from a userbox from a user, a page beginning in User:, then you can copy the full title, like so: . If you are adding multiple userboxes, you can use [TEMPLATE_REF] and [TEMPLATE_REF] at the start and end of your userboxes, to put them all into a box on the side, like I have. I hope this helps, let me know if you have any more questions!"
3,qc_2,35008,0,1,0,8.0,8.0,23.3,61.0,4.0,"How do you add the boxes on your profile like “This user is…”?
Thank you!","Hi there @. I assume you are talking about [POLICY]? A gallery of userboxes is located [POLICY] and you can copy the boxes to your page by copying and pasting pasting the [POLICY] linked on the gallery to add the boxes to your page. For example, you could copy and paste to show that you are an expert in sports statistics."
3,qc_2,5805,0,0,0,3.0,3.0,0.6,5.0,7.7,How can I insert boxes into my user page?,"Hello, MajjuBhalla. Please read [POLICY]."
4,qc_3,15639,4,4,1,6.0,6.0,8.0,145.0,2.5,How to add image already exist in Wikipedia,"Hi @ and welcome to Wikipedia. I see that you have already made some additions to the article [WIKILINK] and I assume that you want to add or change an image for one held on Wikimedia Commons, for example one held in [WIKILINK]. The image in the infobox is changed just by replacing the imageimage = Prince Rashed Al-Khuzai.jpg. For images in the text of the article, you need to [POLICY] the file name and put in various other parameters, as explained very fully at [HELP_PAGE]. Most editors here find that making this sort of change is easiest using the source editor rather than the visual editor although the edit can be made in either. [HELP_PAGE] gives step-by-step instructions on using each editor. In a moment, I'll add some other useful links to your Talk Page, so you'll have them for future use. Good luck."
4,qc_3,4265,0,0,0,0.0,0.0,0.0,150.0,33.3,how to add images to wikipedia,"You can always read [HELP_PAGE] but here's a quick recap. The first thing to do is to upload your image. Now I won't get into the fine details of image copyrights issues but basically, you should only add images that are free either because their copyright has expired or because their author has released under a free license or because you're the author of the image. In either case, you should be able to upload the image to [WIKILINK] via its Upload Wizard (see ""Upload file"" in the column on the left.) Once this is done, your image will have some name ""Foo"". To include the image on an article, you can now add (the first two parameters ensure that the image appears on the right and is not too large, the last is the image's caption.) Hope this helps. If you're still having trouble, do let me know. Cheers,"
4,qc_3,1634,0,0,0,8.0,8.0,47.5,21.0,177.6,Hi so I have a problem with inserting an image to Wikipedia how,Hello . [HELP_PAGE] is the place to learn about inserting pictures. Let me know if you have any other questions. ~
4,qc_3,11596,0,0,0,0.0,0.0,0.1,45.0,64.5,"Hi, how do I add an image to a wikipedia page?","Looks like you figured it out! Check out [HELP_PAGE] for a tutorial. In particular, [POLICY] says captions should only have ending punctuation (like periods) if they are complete sentences and should not be bolded. Sometimes, [POLICY] have their own places for you to place images."
5,qc_5,21266,6,17,1,0.0,0.0,43.4,70.0,0.3,How can i add pictures to articles,"Hey , welcome to Wikipedia! You may want to read [HELP_PAGE] for images (there are simplified versions linked at the top), which should give you all the information you need. Ixtal has not edited in some time now, so you may want to ask your question at the [POLICY], where experienced editors will be able to help you out. I'm happy to help if you have any other questions. —"
5,qc_5,23536,4,4,1,1.0,1.0,0.5,26.0,3.9,Hello how do I add an image to a article?,"Hi @, depends on if the image is already uploaded or if it has not been, [POLICY] should be a good guide in both cases though"
5,qc_5,39267,0,0,0,0.0,0.0,0.5,177.0,0.2,Hi I want to add pictures to my article,"Hi , and welcome to Wikipedia! It sounds like you're looking for help with how to add and use images on Wikipedia. If that's the case, you can check out Wikipedia's information page on images [POLICY]. It lists relevant tutorials, guidelines, and policies involving their use. The very important thing that you need to make sure that you understand and comply with at all times is Wikipedia's policy on [POLICY], and to avoid causing any [POLICY]. Obeying media copyrights is extremely crucial on Wikipedia; it's a policy that we take very seriously, and causing violations due to carelessness (especially if repeated) usually leads to users being [POLICY] Wikipedia until they can demonstrate that they understand the policy and will not cause further copyright issues. It can even hurt your [POLICY] as far as community trust and holding account permissions goes. So please read through those policies and be diligent and careful with uploading and using images here. If you have any more questions, please let me know and I'll be happy to answer them. :-) Best regards"
5,qc_5,13226,0,0,0,0.0,0.0,0.1,82.0,8.9,How can I add pictures to the articles?,"Hi @! To add a picture to an article, first it needs to be uploaded on Wikipedia, or on [WIKILINK]. If it is, simply take the file's name and type {{ on this page, I would type , and it would appear to the right, like you can see . If you have a photo not uploaded, go over and check out [POLICY], after making sure that we are allowed to use it, our rules for pictures are at [POLICY]. Happy Editing--'"
5,qc_5,32327,0,0,0,0.0,0.0,0.3,34.0,4.8,how do i add a picture to an article?,"Hi @! You may find [HELP_PAGE] useful if you're using the Visual Editor (which operates similar to word processor software), or [HELP_PAGE] if you're using the Source Editor (which operates using mark up). Cheer,"
6,qc_6,13623,11,26,1,1.0,1.0,17.0,11.0,44.9,How do you succesfully change your username?,"Hey, Realmaxxver! You can read more about this at [POLICY]. '"
6,qc_6,23614,4,4,1,2.0,2.0,0.7,41.0,4.1,I want to change my username for privacy,"Hi @, although [POLICY] is a thing, it's probably better to simply create a new account and stop using your current one (you cannot switch back and forth). This would ensure that you cannot be (publicly) linked to your old username."
6,qc_6,11169,0,0,0,0.0,0.0,-1.0,8.0,7.7,How to change my username?,"@ hello, see [POLICY] ~ (he/him • )"
6,qc_6,5473,0,0,0,0.0,0.0,0.7,94.0,78.7,how to change username,"Hi, and thanks for waiting! Since account is so new, the easier method is just to abandon this account and create a new one with the username you want. Just to be on the safe side, you want to write a note on both userpages that you've abandoned your old account and are using the new one for username reasons. The other method is to request a username change for the existing account; if you have questions on the [POLICY], please feel free to ask. Thanks again, and enjoy your weekend! ( · )"
6,qc_6,36011,0,0,0,0.0,0.0,0.6,8.0,0.1,How do I change my username?,3NIGMA BRED MUSIC Welcome! Visit [POLICY] for instructions.
7,qc_12,22964,5,8,1,1.0,1.0,70.9,4.0,3.0,How do I upload a image,", see [HELP_PAGE]. —"
7,qc_12,29132,0,0,0,0.0,0.0,0.0,16.0,2.6,How do I upload a image,"Hello Krenovintz|p=, and welcome to Wikipedia! Please see [POLICY] for a simplified guide on uploading images."
7,qc_12,1855,0,0,0,0.0,0.0,0.5,33.0,0.7,How do I upload image,"Hi , images must be copyright free otherwise they will be quickly deleted, so I'd advise taking a while first to familiarise yourself with how wikipedia works. Any other questions? And happy editing"
7,qc_12,15629,0,0,0,1.0,1.0,125.9,149.0,16.6,How do I up load images,"@ Most of the images used in Wikipedia are hosted at the sister Project, Wikimedia Commons, which has an upload wizard at this link: [WIKILINK]. The main mistake which new users make is to claim that they are uploading their ""own work"", when in fact they don't own the copyright to the image: copyright is usually owned by the person who took the photograph or drew the diagram, etc. You may not under any circumstances upload to Commons some random picture you found on the Internet. There are some very limited circumstances where images or logos are uploaded to the English Wikipedia for use only here: see [POLICY] for the (complicated!) rules. Do you want to upload something you took with your own camera? That's the simplest case. You might like also to tell me what you intend to do with your image, so I can give further advice."
8,qc_12,30335,6,6,1,3.0,3.0,0.1,4.0,57.4,How can I upload a picture??,You can through [POLICY]
8,qc_12,16128,0,0,0,0.0,0.0,0.0,38.0,842.8,How do I upload pictures?,"You can, you can begin by uploading the picture on Wikimedia Commons [WIKILINK]. From there you can upload the picture on Wikipedia by copying the title of the picture on Wikimedia Commons and pasting on the Wikipedia page."
8,qc_12,31777,0,0,0,0.0,0.0,0.0,1.0,22.1,"Hello
How can I upload a picture?",[POLICY]
8,qc_12,28664,0,0,0,0.0,0.0,0.1,53.0,20.7,"I need to upload a picture.
How can I do that, please ?","If you are uploading a picture you took, I think you'd want to be uploading your work at [WIKILINK]. Files uploaded here are usually non-free (ex. Game covers), making them unsuitable for Commons. Commons have more than enough instructions for file uploads, but if you're confused, feel free to continue asking questions here."
9,qc_16,3230,5,5,1,3.0,3.0,13.7,36.0,0.4,"Hi
can you help me
I don't know how to add images","Uditpamnani Hi, if you're referring to adding an image to an infobox, image = field by writing the file name, for example: yourpicturesname.jpg. If you don't want it in an infobox, simply add to the article."
9,qc_16,32618,9,9,1,3.0,3.0,0.7,46.0,2.2,"Hello, how do I add an image? Thanks in advance","To upload a new file, go to [POLICY] or click the ""Upload file"" button on the left sidebar. To add an already existing file to an article or page, add the text [WIKILINK] to an srticle. For more info, see the page [HELP_PAGE]. ( · )"
9,qc_16,39291,0,0,0,1.0,1.0,0.1,208.0,0.9,Hi how do I add a image,"Hi ! Welcome to Wikipedia! So, there are a few things you have to do in order to add an image to a page on Wikipedia. If the image doesn't already exist as a file on the project (it's neither uploaded to the English Wikipedia locally nor uploaded to the Wikimedia Commons so it can be used globally), you will need to upload the image first. Wikipedia has a guide page that's located [POLICY] that will assist you. When reading through the page, you'll notice right away that much of the information and details are in relation to copyright rules and policies. You must make sure that any and all images you upload are in compliance of Wikipedia's policy on [POLICY]. You cannot violate copyright policies; doing so is considered a serious offense, so please please ask for help in cases where you're not sure if the image is in compliance of policy or not. After you've either uploaded or located the image you wish to add to another page, this Wikipedia [HELP_PAGE] will show you exactly what to do in order to display that image. Please let me know if you run into any more questions, and I'll be happy to answer them and help. :-) Best"
9,qc_16,19097,0,0,0,0.0,0.0,0.7,6.0,35.6,How do I add images,Note: account now blocked for spam.
9,qc_16,29954,0,0,0,6.0,6.0,26.6,47.0,0.9,How do I add images,"Great question, Pigguy669, to upload images I'd check out [POLICY], bur to summarize, check the copyright status to make sure it is appropriate for Wikipedia. Since your account is fairly new, you'll have to upload your image through [POLICY]. Best of luck and thanks for the question!"
10,qc_17,27523,3,4,1,5.0,5.0,99.0,60.0,7.3,How do i add pictures,"Hello @!
To add an image, just click on the ""Insert"" button on the toolbar at the top of the page. The first option in the dropdown menu should be ""Images and Media."" When uploading, please ensure that the image is released under a [POLICY]. Please see [HELP_PAGE] for more information, and a step-by-step guide. Happy new year! Ping me!"
10,qc_17,29103,0,0,0,1.0,1.0,0.1,20.0,0.1,how do i add a picture,@ Please see the message I left on your talk page. For help with adding images please see [HELP_PAGE]. --
10,qc_17,13449,0,0,0,1.0,1.0,25.0,31.0,21.3,How to add pictures,"@ Welcome to Wikipedia. I added some links to your Talk page, including some editing tips [HELP_PAGE]. Let me know how it goes with this and if you need anything else."
10,qc_17,12620,0,0,0,1.0,1.0,27.9,17.0,43.6,How to add pictures,"Hello Heisrobbie, and welcome to Wikipedia! You can find some instructions on adding images [HELP_PAGE]. Happy editing!"
11,qc_22,5391,5,5,1,1.0,1.0,3890.3,65.0,2.5,"Hi, I am trying to make my sandbox article sent to live? How do I do this?
Thanks
Liam","@ Hello and welcome to Wikipedia! You can submit it for review, see ""Ready!"" At [POLICY]. However, in it's current shape it will be declined. [POLICY] is your first hurdle, and you need to add these references correctly per [POLICY]. The only current ref in the article atm is, well, empty. [POLICY] may be of interest to you. I also recommend [POLICY]. Hope this helps."
11,qc_22,13766,0,0,0,1.0,1.0,1751.9,42.0,174.1,"Hello, how am I able to officially publish an article that I made in sandbox ?","@: Hey there! While I'd love to help you out with this, there's a noticeable problem with your draft. This is the English Wikipedia, so as such, we only accept contributions in English. You might be better suited contributing to the [LINK]."
11,qc_22,7983,0,0,0,3.0,1.0,4599.0,55.0,6.9,I want to publish my sandbox article. How do I do so?,"Hi, @! You currently lack the appropriate permissions to publish articles by yourself. In lieu of this, you must use the [POLICY] process. This means submitting your sandbox for review and, if passing our standards on [POLICY], [POLICY], and [POLICY], publishing. To do this, place at the very top of your sandbox. ([WIKILINK] • )"
11,qc_22,23549,0,0,0,9.0,1.0,1823.0,48.0,0.6,"Hello! If I want to publish an article I've been working on from my sandbox, how would I go about doing that?","@ you could click the ""Submit your draft for review!"" button on the top of the page when you are ready. Sourcing looks quite questionable at the moment though, Geni and Wikitree both does not look really reliable, some more reliable sources providing significant coverage would be great."
12,qc_22,225,3,8,1,4.0,4.0,29.5,30.0,6.0,where is the sandbox,"It depends on what skin you are using. I'm not using the most recent skin so I can't tell you. For me, it's at the very top of every page."
12,qc_22,11292,3,3,1,0.0,0.0,0.5,28.0,2.4,Where is my sandbox please,@ welcome to Wikipedia! A sandbox now exists for you at at . Since it didn’t exist before I technically had to create it. ~ (he/him • )
12,qc_22,17626,0,0,0,0.0,0.0,0.1,37.0,29.4,where do I find the sandbox,"@ Hi, apologies for the late response and thank you for reaching out. For faster responses and help from experienced editors, I recommend posting your question at [POLICY]. It’s a friendly place to get support. Best regards"
12,qc_22,2080,0,0,0,1.0,1.0,6.4,9.0,3.2,where can i find my sandbox?,Hi @ your sandbox is at . Happy editing!
13,qc_24,6029,3,4,1,0.0,0.0,0.8,187.0,1.0,"how do I save a draft, without having to publish it?","Hi Fripper23, You click on the publish button, which saves the page in draft space. This happens because you created the article in Draft space (it has the prefix ""Draft:""). To publish it in mainspace, the article must be renamed in a process called ""moving"", which publishes it in article space for the world to see. If you want you could alternatively save your drafts in user space, where they will mainly be ignored until you are ready to move them elsewhere. A lot depends on how soon you want them to be examined by someone else. If you expect the article to be ready soon, draft space is good, as you are more likely to get helpful suggestions. User space is good for something that may take a longer time before it is ready. As the article title suggests it will be about a recognised species, it should be easy to prove notability and should not take long. You are welcome to ping me from the talk page of the article while you are developing it if you want me to take a look. Cheers, :"
13,qc_24,15355,3,3,0,2.0,2.0,2.7,55.0,1.9,"Hi there, I have just created a draft, thinking that this would be saved automatically. I didn't dare press ""Publish"". Any hints, how I can see the draft anywhere. Or was I supposed to press the ""Publish"" button?","Andreascontent Hi! Based on , it doesn't look like you've saved a draft - i.e., it likely is not saved anywhere. If you're creating something in the [POLICY], there's absolutely no harm in pressing ""Publish"" - it'll just be saved in as a draft, not immediately accessible to readers in the ""main"" article namespace. '"
13,qc_24,2558,0,0,0,0.0,0.0,84.3,58.0,8.5,"Hi Robert,
How can i save my draft without publishing it ?","@ hi. I see that you have already saved something to your user page. As it is, the content is [POLICY] and may likely be subjected to deletion. Do keep in mind that [POLICY]. I suggest moving it to your sandbox, i.e. at where you can further work on it to make it less promotional. See also [POLICY]."
13,qc_24,16395,0,0,0,4.0,4.0,1.5,184.0,13.7,"Hello, how do I publish my draft?","Hi Shugg670987 and welcome to Wikipedia. Sorry for the delay, it was thanksgiving for me yesterday and I was spending time with friends. I assume you're talking about [DRAFT]? [POLICY] explains a lot about drafts if you're curious, but I've added a template for you that has a button you can press to submit the draft for someone else to review.
Reading [POLICY] about creating new articles may be informative. While it sounds like Ormsby makes interesting Minecraft parody songs, to have an article on Wikipedia he would have to meet our [POLICY]. The best way to ensure that is to have three sources that are independant and [POLICY] that talk about his work [POLICY]. It may be the case that you cannot find sources like this no matter how hard you try. While that can definitely be disappointing, there's still plently else you could do here. There's a wikiproject dedicated to improving YouTube-related topics: [POLICY]. Maybe you'd find it interesting? There's also [POLICY].
If you need me to clarify anything or any other questions, feel free to come back here and ask whenever."
13,qc_24,9059,0,0,0,0.0,0.0,0.2,133.0,7.5,Hello! How do I publish a draft?,"Mattdimarc, well at the moment your draft has been put up for review, which could take a little bit, so be patient. However, your draft as it is currently will not be accepted, because it does not show that you are [POLICY]. To fix that, you will need high quality [POLICY]. I have just declined your draft to that effect. At the top will be the decline reasons. You should follow some of the blue links and learn more about the process. Also, you should realize that your draft is written like an advertisement. Wikipedia is not for promotion. Our articles are written [POLICY], in an encyclopedic style that does not puff up the subjects. There is definitely a lot to take in here, so don't be afraid to post followup questions :)"
14,qc_24,38919,3,3,1,2.0,2.0,4.1,13.0,0.8,"Hello, How can i submit my draft for review?",:Please review [POLICY] and let me know if you have any questions! '
14,qc_24,7556,0,0,0,0.0,0.0,2.9,21.0,13.2,"Hey, can you please let me know how can i submit my draft?","Laibadotawais its at the top of your draft, in white letters, with blue background, saying ""submit the draft for review"". —usernamekiran"
14,qc_24,39116,0,0,0,1.0,1.0,0.4,13.0,8.8,where can I submit my draft for review?,@ these issues have already been addressed at by the looks of thing
14,qc_24,18042,0,0,0,0.0,0.0,0.2,32.0,3.2,Hi how do I submit a draft,Hi there! You can submit your draft at Wikipedia's [POLICY]! You can also learn more about the drafting process through the [LINK]. Cheers and good luck with the acceptance of your draft!
15,qc_32,11684,4,4,1,4.0,4.0,0.3,63.0,0.1,How do I publish an article,"Hello Therian Controls! If you want to write an article on Wikipedia, you start by finding reliable sources about the subject you want to write about. Then you can use those to start a draft with [POLICY]. One important thing is that articles cannot be promotional. The text currently written at would not be accepted because it describes a product using marketing-like language."
15,qc_32,3849,3,7,1,5.0,5.0,26.0,29.0,13.4,How do I publish an article?,Hi Volkan Agha and welcome to Wikipedia. [HELP_PAGE] explains how to publish a draft article. My welcome message on includes additional links that provide guidance on how to edit.
15,qc_32,33267,0,0,0,0.0,0.0,0.0,3.0,0.5,How do I publish an article,@: See [HELP_PAGE].
15,qc_32,8971,0,0,0,0.0,0.0,0.5,140.0,2.1,How do I publish article,"Adefila Oluwatimileyin Ayomide thanks for the question and welcome to Wikipedia! Creating a new Wikipedia article is very difficult because it requires experience in lots of different skills. The most important stage is the research stage, where you need to find sources and [POLICY]; when you have reliable sources, you need to assess whether they [POLICY]. If you decide your topic is definitely notable then you need to summarise the sources in your own words, making sure the reader can [POLICY]. Then, you need good writing skills and the ability to format using [POLICY] so the article is readable. Newcomers should start with tasks that help them develop the necessary skills one at a time, some of which are recommended on . The ideal is to start by adding reliable sources to existing articles that are in poor shape. —"
15,qc_32,18943,0,0,0,0.0,0.0,0.6,29.0,105.5,How do I publish an article?,"Hey, [POLICY] is a great introduction to editing and using Wikipedia in general. You can create a new article and submit it for creation at [POLICY]. Hope this helps,"
16,qc_34,30605,5,7,1,3.0,3.0,47.2,12.0,0.1,how do i create my user page,"AestheticArtist
You can create [POLICY] yourself. Click edit tab to edit it."
16,qc_34,30490,0,0,0,1.0,1.0,3.0,17.0,28.4,How do I create my user page,It looks like you have started. I recommend to read the guide at the following link: [HELP_PAGE]
16,qc_34,13848,0,0,0,0.0,0.0,0.2,24.0,15.0,How do I create my user page,"@: Hey there! I've left additional info on , but please see [POLICY] for a list of ways to appropriately use your user page."
16,qc_34,4827,0,0,0,2.0,2.0,0.7,21.0,39.0,"Hi, I'm D.D.B2024,
How can I create a user page?","Hi @, your userpage is this page here: --this is where you can tell other editors what you are interested in."
17,qc_53,11575,3,3,0,0.0,0.0,0.1,45.0,24.3,How do I make my own article?,"Ey, [POLICY] is an extremely bad idea per the link in this sentence, if that's what you mean. I really doubt that your team meets our [HELP_PAGE]. There is very little benefit for the subject when they have a Wikipedia article, and there are [POLICY]."
17,qc_53,12730,0,0,0,0.0,0.0,0.1,17.0,176.3,How do I create my own article,"@: Writing an article about yourself is generally [POLICY] due to potential [POLICY]. Otherwise, try [HELP_PAGE]. ([WIKILINK]/[WIKILINK])"
17,qc_53,5390,0,0,0,0.0,0.0,0.1,15.0,0.4,how do I create my own article?,"@, here is some reading material:[POLICY], [POLICY], [POLICY] and, if it applies, [POLICY]. Good luck!"
17,qc_53,18534,0,0,0,0.0,0.0,0.1,12.0,88.1,How do I make my own article about myself,"@ - Please do not do that, it is against wikipedia rules."
18,qc_57,37052,5,5,1,1.0,1.0,0.3,51.0,49.9,Hi. How do I make my profile?,"Hi there,
I would like to write articles on education, skills, employability, wellness, politics, etc. Where do I start?
ShahinRezaBD Hello, and welcome to Wikipedia. You can learn about how to write good articles by reading [POLICY], but I would recommend you begin by editing articles already present on the website."
18,qc_57,33431,0,0,0,0.0,0.0,0.1,34.0,2.5,"Hello
How do I create my profile?","Hi @, welcome to Wikipedia! To create your userpage, please look up “User:” followed by your username in the search bar and click on “Create Source”. Thanks and happy editing! Best, ( • )"
18,qc_57,1130,0,0,0,0.0,0.0,0.1,14.0,47.3,how to make my profile,"I don't understand what you mean. This is an encyclopedia, not a social network."
18,qc_57,22394,0,0,0,0.0,0.0,0.0,41.0,5.8,How do I create my profile?,", to create your [POLICY], click on the red name in your signature. If you are trying to create a Wikipedia article about yourself. this is not recommended and will likely result in failure. You should read through [POLICY] to start."
19,qc_59,15111,5,7,1,8.0,8.0,69.7,27.0,1.2,Hey i wanted to edit a page. It needs to be renamed. How can I do that ? Please help,"It's not going to be renamed because ""Kartavya Path"" is nowhere near close to becoming the [POLICY] of the road, which is the relevant Wikipedia policy here."
19,qc_59,1494,14,24,1,1.0,1.0,0.3,30.0,5.3,"Hello there, I just finished an edit and want to know how to rename the title of a page?","To change the title of a page, it needs to be moved from the old title to the new one. You can find out how to do this at [HELP_PAGE]."
19,qc_59,28777,0,0,0,0.0,0.0,1.0,27.0,40.5,"Hey there, how do I rename my page?","Hi @, I can do it for you. What page is it and what do you want it to be renamed to, and why? ( • )"
19,qc_59,16291,0,0,0,0.0,0.0,0.0,10.0,4.3,Hi. How do i rename the page,Arriestudios There is a guide for moving a page [POLICY].
20,qc_78,17434,4,4,1,3.0,3.0,22.1,13.0,5.2,"Hi. Can I able to create a new page for company on Wikipedia.
Share your tips regarding this.",Balakumar93j hi! Do you have a [POLICY] regarding the company? ( · he/him)
20,qc_78,23420,0,0,0,0.0,0.0,0.0,116.0,0.7,"Hello, how can I create a company page on Wikipedia?","@ welcome to Wikipedia! I would strongly discourage you from creating a company page, because creating your first article without much editing experience is extremely difficult and if it is a company that you share a conflict of interest with, please also read through at the very least the lead section (first 4 paragraphs) of [POLICY] regarding COIs, also read through [POLICY] and go through some of the links I've posted on your talk page. If you instead want to want to focus on making Wikipedia a better place, perhaps choosing another [POLICY] would be a better idea. Thanks, and feel free to reply to this message if there is anything you don't understand, happy editing!"
20,qc_78,8664,0,0,0,1.0,1.0,43.6,36.0,16.1,hello sir I need your help for create new page for company wikipedia,"Yv1515, does the company that you want to create an article about have significant coverage outside of sources connected to the company itself? Also, do you have any connection to this company at all? (Very Busy)"
20,qc_78,31692,0,0,0,0.0,0.0,0.0,29.0,0.1,Hi. I want to create a Wikipedia page for my company. How can I do that?,"Hi, ! Welcome! Writing articles on subjects you're connected with isn't allowed, especially about companies. Please read our policy on [POLICY]. You should also disclose any paid editing. Thanks!"
21,qc_91,37787,4,9,1,1.0,1.0,0.1,23.0,0.0,"Hello, How do I add a source to a piece of info?","Hi @ - have a look at this: [HELP_PAGE] - if you need any more help feel free to ask me more. Regards,"
21,qc_91,2726,0,0,0,0.0,0.0,-1.0,23.0,0.1,"Hello, How do I add a source to a piece of info?","Hi @ - have a look at this: [HELP_PAGE] - if you need any more help feel free to ask me more. Regards,"
21,qc_91,12348,0,0,0,3.0,3.0,0.6,6.0,65.3,How do you add sources within the information you're editing?,@: I'd recommend checking out [POLICY].
21,qc_91,18947,0,0,0,1.0,1.0,0.0,26.0,5.9,I edited before but? How do I add a source,"Hey @, this page: [POLICY] has a tutorial on how to add sources. If you have any more questions please let me know! Hope this helps,"
22,qc_99,34287,5,7,1,0.0,0.0,0.3,66.0,10.2,how do I edit a page,"Hi there! In order to edit a page, you can click the ""edit source"" tab on the upper right corner of the page and change the Wikipedia article text to what you need to change it to. Also, please feel free to take a look at our [POLICY] as well as our [HELP_PAGE], [POLICY], [POLICY] and [POLICY]. Again, welcome and happy editing! Thanks, ( • )"
22,qc_99,40285,4,5,1,0.0,0.0,0.2,23.0,0.0,How can I edit page,"hi, you can edit pages by clicking the Edit or Edit source button at the top of an article or by clicking [LINK]"
22,qc_99,15292,0,0,0,0.0,0.0,0.0,19.0,19.5,how do I edit a page,Qwerty.qwertymeow There's a great introduction to editing at [HELP_PAGE]. Let me know if you have any other questions! '
22,qc_99,25519,0,0,0,0.0,0.0,0.1,51.0,0.0,"hello, how to edit a page?","[LINK]
Kuyhaacracks1812 Hello, Welcome on Wikipedia! If you don't known how to edit a page, then firstly please see [HELP_PAGE] and You're name is seem like organization name, and it's not match to Wikipedia's [POLICY] policy, so, please request for change you're name by filling this . Happy editing!. ~~ |"
